,name,entity_id,isPremium,ipeds,review_average,review_count
81,Bates College,2c036559-5ebb-4c00-b3b8-6679a91fb040,True,160977,3.972568578553616,401
82,Grinnell College,d89702e5-2618-48c0-ba58-a67a9f0411c8,True,153384,3.75,444
83,University of Pittsburgh,2c12263a-b1ae-46ce-9dc4-d666a58ffe12,True,215293,3.741875580315692,4308
84,Brigham Young University,9d9a9977-4c96-45c6-8a12-b8be71a34936,False,230038,4.047079439252337,8560
85,Michigan State University,4355937b-ea83-43fb-b7ee-ed0a6a1e0415,True,171100,3.8984425697598963,6164
86,Florida International University,fa40c81d-f56b-4353-9518-17bb497b877f,True,133951,3.7676141721675873,7423
87,North Carolina State University,c3ea35a9-85d8-473b-a511-4f7d71c3b78e,False,199193,3.8404566744730677,3416
88,Smith College,10591a8d-619b-4c83-8026-cf6efcd12d36,True,167835,3.7042716319824756,913
89,National University,f39efc09-139f-40f5-a2b5-427409cdb190,False,119605,3.981001727115717,1158
90,Clemson University,72a78a8a-ede3-4cfd-93af-af3597264db5,False,217882,3.9151548981300586,3583
91,University of Richmond,94a3b32f-7213-4ea2-bc3a-5aa612b3850c,True,233374,3.8798955613577024,766
92,University of Maryland - College Park,79f8ae06-8878-4e4e-87de-0301f452173a,False,163286,3.6837823178448743,5531
93,University of Minnesota Twin Cities,4a4fe604-d453-446d-986a-c1de1ee249c4,False,174066,3.7692947784480966,4807
94,Southern Methodist University,b1b6ff67-4938-4b0c-9645-8ae03caeb22f,True,228246,3.853486884197057,1563
95,George Washington University,e3dffeaa-58fa-41d3-bf56-fe2ea314642c,False,131469,3.6535504296698327,2211
96,Oklahoma State University,e2c23d77-a108-41a1-b566-05fcb2e742c6,False,207388,3.9349659863945576,3675
97,Rutgers University–New Brunswick,c494ce31-603e-46e3-a477-a03dae81c1be,True,186380,3.6446431528398744,6039
98,Colorado College,aab81765-0dc0-4f7e-ac15-280590baed68,False,126678,3.663716814159292,791
99,Colorado School of Mines,3b537598-9e52-434e-b609-69330208916c,True,126775,3.722741433021807,963
